醫事機構代碼,x,y
5901024865,121.550149,25.042667
5901024892,121.52827,25.02568
5901024909,121.550022,25.034246
5901024918,121.553062,25.040254
5901024927,121.548199,25.033472
5901024945,121.543754,25.025002
5901090074,121.51013,25.058322
5901090127,121.509908,25.055807
5901090154,121.514366,25.074518
5901090181,121.519115,25.053557
5901090243,121.515044,25.054849
5901090289,121.511035,25.068059
5901090323,121.514619,25.073029
5901090369,121.512944,25.059258
5901091473,121.507656,25.053588
5901091544,121.511467,25.060289
5901091624,121.515522,25.068722
5901091759,121.515832,25.060652
5901091820,121.511459,25.057334
5901091857,121.515833,25.070609
5901091884,121.514678,25.060776
5901091973,121.511201,25.064747
5901091991,121.519369,25.057618
5901092014,121.51512,25.065823
5901092050,121.510788,25.050353
5901092069,121.510636,25.053695
5901092078,121.508478,25.056756
5901092087,121.519676,25.0574
5901092096,121.519732,25.05036
5901092103,121.514281,25.065839
5901100057,121.532247,25.048572
5901100066,121.540284,25.055049
5901100155,121.525542,25.051698
5901100244,121.529758,25.065971
5901100333,121.526587,25.055022
5901100342,121.53475,25.060252
5901100422,121.534655,25.051448
5901100431,121.531313,25.062066
5901100440,121.524223,25.057935
5901100495,121.525628,25.054818
5901100628,121.531963,25.060393
5901100717,121.524415,25.06463
5901100771,121.521567,25.063669
5901101072,121.541887,25.056207
5901101161,121.525859,25.067034
5901101205,121.548838,25.082727
5901101250,121.523274,25.051364
5901101321,121.540088,25.066075
5901101509,121.548295,25.081925
5901101536,121.531711,25.054728
5901101607,121.539109,25.058454
5901101652,121.525087,25.051418
5901101910,121.538507,25.060326
5901101929,121.547952,25.08014
5901101992,121.530392,25.061647
5901102015,121.525478,25.061268
5901102060,121.534724,25.054258
5901102408,121.543769,25.056166
5901102444,121.535237,25.060238
5901102515,121.521673,25.058247
5901102560,121.540294,25.065912
5901102579,121.52454,25.065007
5901102597,121.530041,25.066521
5901102631,121.540679,25.048425
5901102677,121.521401,25.051434
5901102828,121.531244,25.060417
5901102837,121.542569,25.048385
5901102855,121.521574,25.06024
5901102873,121.530508,25.065871
5901102971,121.549291,25.081911
5901103030,121.53504,25.060023
5901103110,121.548643,25.081944
5901103183,121.543465,25.056155
5901103192,121.526852,25.050182
5901103209,121.525797,25.065299
5901103227,121.541045,25.065106
5901103236,121.525825,25.066472
5901103272,121.541786,25.0484
5901103325,121.525505,25.062325
5901103334,121.548762,25.082409
5901103352,121.549052,25.082426
5901103423,121.524773,25.064831
5901103450,121.540788,25.054769
5901103469,121.532165,25.064712
5901103487,121.532103,25.060392
5901103496,121.54064,25.060105
5901103530,121.535809,25.064765
5901103576,121.53464,25.064568
5901103585,121.540871,25.065322
5901103629,121.525568,25.055879
5901103647,121.561177,25.081246
5901110133,121.589851,25.086853
5901110268,121.617838,25.069756
5901110302,121.592635,25.080375
5901110311,121.58519,25.077228
5901110339,121.572833,25.081679
5901110393,121.612468,25.069704
5901110624,121.590855,25.067378
5901111863,121.591995,25.08033
5901111890,121.615787,25.06785
5901111934,121.578502,25.079246
5901112011,121.559897,25.085443
5901112100,121.612874,25.071331
5901112351,121.606229,25.07203
5901112593,121.618859,25.070146
5901112600,121.57742,25.079637
5901112682,121.617002,25.069879
5901112824,121.593226,25.081206
5901112842,121.592084,25.081665
5901112860,121.587698,25.068663
5901112879,121.599638,25.084879
5901112977,121.576269,25.075248
5901112995,121.617366,25.0681
5901113018,121.591667,25.083185
5901113027,121.590203,25.085934
5901113081,121.612039,25.071555
5901113198,121.589045,25.081803
5901113205,121.579693,25.054656
5901113250,121.590993,25.081071
5901113269,121.5909,25.086407
5901113330,121.598975,25.084537
5901113367,121.583689,25.078702
5901113401,121.570567,25.081885
5901113438,121.596104,25.084565
5901113456,121.607764,25.072641
5901113509,121.591774,25.080289
5901113527,121.578084,25.080777
5901113536,121.578812,25.080577
5901113545,121.581781,25.077203
5901113563,121.619241,25.072627
5901113572,121.569261,25.0822
5901113590,121.590636,25.081434
5901120022,121.605542,25.056608
5901120139,121.583448,25.044333
5901120175,121.592215,25.054292
5901120184,121.584086,25.045107
5901120308,121.605397,25.054251
5901121421,121.583168,25.043288
5901121449,121.584753,25.045641
5901121501,121.583236,25.044788
5901121574,121.585894,25.045739
5901121583,121.61657,25.054013
5901121618,121.588267,25.040918
5901121627,121.616512,25.051808
5901121672,121.606059,25.055447
5901121725,121.6152,25.045397
5901121734,121.616697,25.051753
5901121823,121.58529,25.045698
5901121850,121.620503,25.039853
5901121869,121.611883,25.055358
5901121896,121.616894,25.037849
5901121903,121.592399,25.054341
5901121912,121.586734,25.044727
5901121930,121.587984,25.039483
5901121958,121.581777,25.046921
5901121976,121.593791,25.049693
5901121985,121.621117,25.039491
5901122044,121.615133,25.045515
5901150011,121.523331,25.097155
5901150057,121.5212212,25.0971459
5901150128,121.520621,25.103977
5901150146,121.516172,25.089956
5901150235,121.532248,25.117636
5901150244,121.521553,25.095621
5901150253,121.542047,25.137491
5901150271,121.529556,25.108038
5901150280,121.524569,25.094806
5901150342,121.526009,25.088981
5901150397,121.523602,25.095486
5901150459,121.525115,25.108884
5901150468,121.51013,25.082512
5901150575,121.526737,25.111678
5901150593,121.519909,25.082846
5901150682,121.521215,25.096463
5901150771,121.531665,25.108967
5901152024,121.527376,25.119312
5901152079,121.522022,25.081071
5901152122,121.510565,25.081693
5901152131,121.531073,25.118635
5901152453,121.531717,25.106141
5901152604,121.509901,25.088771
5901152640,121.508332,25.087689
5901152659,121.522772,25.084437
5901152686,121.509549,25.086279
5901152720,121.508764,25.087878
5901152739,121.507966,25.087495
5901152748,121.522685,25.105058
5901152793,121.521358,25.096194
5901152837,121.521265,25.09634
5901152873,121.528394,25.108121
5901152971,121.53142,25.105944
5901153058,121.521469,25.080442
5901153101,121.520033,25.090564
5901153110,121.520436,25.080901
5901153263,121.509683,25.084827
5901153325,121.524531,25.108906
5901153405,121.509277,25.088538
5901153432,121.516578,25.090429
5901153487,121.504051,25.092421
5901153496,121.53142,25.105944
5901153503,121.506745,25.087513
5901153521,121.526217,25.118348
5901153567,121.519941,25.088494
5901153585,121.527463,25.107302
5901153610,121.528778,25.111561
